timestamp,n_qubits,encoding,encoding_reps,optimizer,n_train,n_test,maxiter,autoencoder_epochs,autoencoder_batch_size,train_seconds,accuracy,balanced_accuracy,kappa,precision,recall,f1,tn,fp,fn,tp,
2026-04-17T11:25:32,2,pauli_x,1,cobyla,700,300,40,20,32,53.84064590000344,0.47,0.46875,-0.06255012028869289,0.44680851063829785,0.4375,0.4421052631578947,78,78,81,63,
2026-04-17T11:26:05,2,pauli_x,1,adam,700,300,40,20,32,32.38555080000151,0.51,0.5122863247863247,0.024422617467480756,0.49101796407185627,0.5694444444444444,0.5273311897106109,71,85,62,82,
2026-04-17T11:27:10,2,pauli_x,2,cobyla,700,300,40,20,32,64.40318879999904,0.4766666666666667,0.4722222222222222,-0.05595910680656435,0.4444444444444444,0.3611111111111111,0.39846743295019155,91,65,92,52,
2026-04-17T11:49:43,2,pauli_x,2,adam,700,300,40,20,32,1352.0933631999978,0.5166666666666667,0.5200320512820513,0.039735099337748325,0.49714285714285716,0.6041666666666666,0.5454545454545454,68,88,57,87,
2026-04-17T11:50:53,2,pauli_x,3,cobyla,700,300,40,20,32,69.23695589999988,0.49,0.4903846153846154,-0.01918465227817734,0.47058823529411764,0.5,0.48484848484848486,75,81,72,72,
2026-04-17T12:16:09,2,pauli_x,3,adam,700,300,40,20,32,1514.9911226000004,0.49333333333333335,0.484241452991453,-0.032047800108636615,0.45121951219512196,0.2569444444444444,0.3274336283185841,111,45,107,37,
2026-04-17T12:17:00,2,pauli_y,1,cobyla,700,300,40,20,32,50.06334960000095,0.6033333333333334,0.6087072649572649,0.21483240960675642,0.5661375661375662,0.7430555555555556,0.6426426426426426,74,82,37,107,
2026-04-17T12:35:47,2,pauli_y,1,adam,700,300,40,20,32,1126.1669838999987,0.59,0.5964209401709402,0.19015011851461683,0.5532994923857868,0.7569444444444444,0.6392961876832844,68,88,35,109,
2026-04-17T12:36:47,2,pauli_y,2,cobyla,700,300,40,20,32,59.616444299997966,0.5166666666666667,0.49759615384615385,-0.00499029664541184,0.42857142857142855,0.020833333333333332,0.039735099337748346,152,4,141,3,
2026-04-17T12:58:52,2,pauli_y,2,adam,700,300,40,20,32,1323.5499143000015,0.52,0.5,0.0,0.0,0.0,0.0,156,0,144,0,
2026-04-17T13:00:02,2,pauli_y,3,cobyla,700,300,40,20,32,69.16084609999962,0.5966666666666667,0.6014957264957265,0.20079260237780716,0.5621621621621622,0.7222222222222222,0.6322188449848024,75,81,40,104,
2026-04-17T13:25:21,2,pauli_y,3,adam,700,300,40,20,32,1518.4345436000003,0.5833333333333334,0.5886752136752137,0.17524412773818954,0.5502645502645502,0.7222222222222222,0.6246246246246246,71,85,40,104,
2026-04-17T13:26:07,2,z_feature_map,1,cobyla,700,300,40,20,32,45.32536020000043,0.5466666666666666,0.5480769230769231,0.09574468085106391,0.525,0.5833333333333334,0.5526315789473685,80,76,60,84,
2026-04-17T13:43:24,2,z_feature_map,1,adam,700,300,40,20,32,1036.3294147000015,0.5333333333333333,0.5341880341880342,0.06815761448349311,0.5128205128205128,0.5555555555555556,0.5333333333333333,80,76,64,80,
2026-04-17T13:44:15,2,z_feature_map,2,cobyla,700,300,40,20,32,50.38305799999944,0.47333333333333333,0.4724893162393162,-0.05502136752136755,0.4513888888888889,0.4513888888888889,0.4513888888888889,77,79,79,65,
2026-04-17T14:03:19,2,z_feature_map,2,adam,700,300,40,20,32,1142.6465181999993,0.52,0.5248397435897436,0.04912836767036444,0.5,0.6458333333333334,0.5636363636363636,63,93,51,93,
2026-04-17T14:04:15,2,z_feature_map,3,cobyla,700,300,40,20,32,55.34520419999899,0.5166666666666667,0.5211004273504274,0.04176579434311389,0.4972677595628415,0.6319444444444444,0.5565749235474006,64,92,53,91,
2026-04-17T14:25:08,2,z_feature_map,3,adam,700,300,40,20,32,1252.1319130999982,0.51,0.49225427350427353,-0.016035388443461418,0.4117647058823529,0.04861111111111111,0.08695652173913043,146,10,137,7,
2026-04-17T14:25:57,2,zz_feature_map_linear,1,cobyla,700,300,40,20,32,48.975574099997175,0.5333333333333333,0.5344551282051282,0.06865353911655137,0.5126582278481012,0.5625,0.5364238410596026,79,77,63,81,
2026-04-17T14:44:28,2,zz_feature_map_linear,1,adam,700,300,40,20,32,1110.2350752999992,0.5266666666666666,0.5280448717948718,0.05585106382978722,0.50625,0.5625,0.5328947368421053,77,79,63,81,
2026-04-17T14:45:27,2,zz_feature_map_linear,2,cobyla,700,300,40,20,32,57.819336500000645,0.5266666666666666,0.5285790598290598,0.05685441020191284,0.5060975609756098,0.5763888888888888,0.538961038961039,75,81,61,83,
2026-04-17T15:07:04,2,zz_feature_map_linear,2,adam,700,300,40,20,32,1296.0128056999965,0.49666666666666665,0.5,0.0,0.48,0.5833333333333334,0.5266457680250783,65,91,60,84,
2026-04-17T15:08:11,2,zz_feature_map_linear,3,cobyla,700,300,40,20,32,66.40779190000467,0.4533333333333333,0.452724358974359,-0.0945008008542445,0.4315068493150685,0.4375,0.43448275862068964,73,83,81,63,
