timestamp,n_qubits,encoding,encoding_reps,optimizer,n_train,n_test,maxiter,autoencoder_epochs,autoencoder_batch_size,train_seconds,accuracy,balanced_accuracy,kappa,precision,recall,f1,tn,fp,fn,tp,
2026-04-17T11:26:21,2,pauli_x,1,cobyla,700,300,40,20,32,55.71710069999972,0.52,0.5211004273504274,0.04204364023416707,0.5,0.5486111111111112,0.5231788079470199,77,79,65,79,
2026-04-17T11:26:53,2,pauli_x,1,adam,700,300,40,20,32,31.457340900000418,0.5233333333333333,0.5232371794871795,0.04641237663376907,0.5033557046979866,0.5208333333333334,0.5119453924914675,82,74,69,75,
2026-04-17T11:27:55,2,pauli_x,2,cobyla,700,300,40,20,32,61.16803119999895,0.5966666666666667,0.6012286324786325,0.2003700766587364,0.5628415300546448,0.7152777777777778,0.6299694189602446,76,80,41,103,
2026-04-17T11:50:24,2,pauli_x,2,adam,700,300,40,20,32,1348.6485252999992,0.44333333333333336,0.43990384615384615,-0.12080536912751683,0.408,0.3541666666666667,0.379182156133829,82,74,93,51,
2026-04-17T11:51:35,2,pauli_x,3,cobyla,700,300,40,20,32,69.76554319999923,0.5266666666666666,0.5235042735042734,0.04723564143853998,0.5079365079365079,0.4444444444444444,0.4740740740740741,94,62,80,64,
2026-04-17T12:16:48,2,pauli_x,3,adam,700,300,40,20,32,1511.6058150000026,0.5066666666666667,0.4962606837606838,-0.007625272331154731,0.4722222222222222,0.2361111111111111,0.3148148148148148,118,38,110,34,
2026-04-17T12:17:38,2,pauli_y,1,cobyla,700,300,40,20,32,49.74403480000183,0.4633333333333333,0.45726495726495725,-0.08636977058029705,0.41904761904761906,0.3055555555555556,0.3534136546184739,95,61,100,44,
2026-04-17T12:36:25,2,pauli_y,1,adam,700,300,40,20,32,1125.6052979000015,0.48,0.47489316239316237,-0.0506465517241379,0.44642857142857145,0.3472222222222222,0.390625,94,62,94,50,
2026-04-17T12:37:25,2,pauli_y,2,cobyla,700,300,40,20,32,59.577533600000606,0.5033333333333333,0.5130876068376068,0.025634318597959616,0.48878923766816146,0.7569444444444444,0.5940054495912807,42,114,35,109,
2026-04-17T12:59:27,2,pauli_y,2,adam,700,300,40,20,32,1321.235209399998,0.52,0.5,0.0,0.0,0.0,0.0,156,0,144,0,
2026-04-17T13:00:37,2,pauli_y,3,cobyla,700,300,40,20,32,69.05757509999967,0.52,0.5125534188034188,0.02544667027612335,0.5,0.3263888888888889,0.3949579831932773,109,47,97,47,
