timestamp,n_qubits,encoding,encoding_reps,optimizer,n_train,n_test,maxiter,autoencoder_epochs,autoencoder_batch_size,train_seconds,accuracy,balanced_accuracy,kappa,precision,recall,f1,tn,fp,fn,tp,explained_variance_sum
2026-06-10T05:03:36,2,zz_feature_map_full,1,cobyla,700,300,40,20,32,29.623573599999872,0.48,0.4788995726495726,-0.04222340994120777,0.45774647887323944,0.4513888888888889,0.45454545454545453,79,77,79,65,
2026-06-10T05:04:11,2,zz_feature_map_full,2,cobyla,700,300,40,20,32,34.7180356000008,0.49666666666666665,0.4983974358974359,-0.003188944990698772,0.4785276073619632,0.5416666666666666,0.50814332247557,71,85,66,78,
2026-06-10T05:04:52,2,zz_feature_map_full,3,cobyla,700,300,40,20,32,40.129738100000395,0.46,0.4591346153846154,-0.08173076923076938,0.4375,0.4375,0.4375,75,81,81,63,
2026-06-10T05:06:14,4,pauli_x,1,cobyla,700,300,40,20,32,76.38003890000073,0.5266666666666666,0.5253739316239316,0.050802139037433136,0.5071428571428571,0.4930555555555556,0.5,87,69,73,71,
2026-06-10T05:07:45,4,pauli_x,2,cobyla,700,300,40,20,32,89.90616760000012,0.5233333333333333,0.5232371794871795,0.04641237663376907,0.5033557046979866,0.5208333333333334,0.5119453924914675,82,74,69,75,
2026-06-10T05:09:26,4,pauli_x,3,cobyla,700,300,40,20,32,99.17810420000023,0.49666666666666665,0.5,0.0,0.48,0.5833333333333334,0.5266457680250783,65,91,60,84,
2026-06-10T05:10:43,4,pauli_y,1,cobyla,700,300,40,20,32,76.00345809999999,0.5466666666666666,0.5462072649572649,0.09236518953550454,0.5273972602739726,0.5347222222222222,0.5310344827586206,87,69,67,77,
2026-06-10T05:12:12,4,pauli_y,2,cobyla,700,300,40,20,32,88.2195128000003,0.52,0.5,0.0,0.0,0.0,0.0,156,0,144,0,
2026-06-10T05:13:53,4,pauli_y,3,cobyla,700,300,40,20,32,99.83249390000128,0.5366666666666666,0.5368589743589743,0.07358037856571575,0.5165562913907285,0.5416666666666666,0.5288135593220339,83,73,66,78,
2026-06-10T05:15:05,4,z_feature_map,1,cobyla,700,300,40,20,32,70.32846280000012,0.52,0.5194978632478633,0.03897490656700486,0.5,0.5069444444444444,0.503448275862069,83,73,71,73,
2026-06-10T05:16:22,4,z_feature_map,2,cobyla,700,300,40,20,32,76.41756729999906,0.5,0.5,0.0,0.48,0.5,0.4897959183673469,78,78,72,72,
2026-06-10T05:17:46,4,z_feature_map,3,cobyla,700,300,40,20,32,83.09035760000006,0.5033333333333333,0.5032051282051282,0.006401707121899247,0.48322147651006714,0.5,0.49146757679180886,79,77,72,72,
2026-06-10T05:19:04,4,zz_feature_map_linear,1,cobyla,700,300,40,20,32,77.1420022000002,0.52,0.5176282051282051,0.03536977491961413,0.5,0.4583333333333333,0.4782608695652174,90,66,78,66,
2026-06-10T05:20:36,4,zz_feature_map_linear,2,cobyla,700,300,40,20,32,90.63400840000031,0.5166666666666667,0.5157585470085471,0.0315255142933476,0.4965034965034965,0.4930555555555556,0.49477351916376305,84,72,73,71,
2026-06-10T05:22:21,4,zz_feature_map_linear,3,cobyla,700,300,40,20,32,104.1050938999997,0.5033333333333333,0.5056089743589743,0.011149455800371744,0.48502994011976047,0.5625,0.5209003215434084,70,86,63,81,
2026-06-10T05:23:47,4,zz_feature_map_full,1,cobyla,700,300,40,20,32,85.00555339999846,0.5133333333333333,0.5120192307692307,0.024064171122994638,0.4928571428571429,0.4791666666666667,0.4859154929577465,85,71,75,69,
2026-06-10T05:25:35,4,zz_feature_map_full,2,cobyla,700,300,40,20,32,105.93301170000086,0.55,0.5510149572649572,0.10167686984295976,0.5286624203821656,0.5763888888888888,0.5514950166112956,82,74,61,83,
2026-06-10T05:27:41,4,zz_feature_map_full,3,cobyla,700,300,40,20,32,124.51687169999968,0.51,0.5098824786324786,0.019738596959189114,0.4899328859060403,0.5069444444444444,0.49829351535836175,80,76,71,73,
2026-06-10T05:30:47,8,pauli_x,1,cobyla,700,300,40,20,32,179.45482099999936,0.4266666666666667,0.42414529914529914,-0.15219721329046076,0.3939393939393939,0.3611111111111111,0.37681159420289856,76,80,92,52,
2026-06-10T05:34:14,8,pauli_x,2,cobyla,700,300,40,20,32,204.3344651999996,0.5166666666666667,0.5133547008547008,0.02684563758389258,0.496,0.4305555555555556,0.46096654275092935,93,63,82,62,
