timestamp,n_qubits,encoding,encoding_reps,optimizer,n_train,n_test,maxiter,autoencoder_epochs,autoencoder_batch_size,train_seconds,accuracy,balanced_accuracy,kappa,precision,recall,f1,tn,fp,fn,tp,explained_variance_sum
2026-06-02T02:48:32,2,pauli_x,1,cobyla,700,300,40,20,32,29.003813700001047,0.47,0.4703525641025641,-0.05915267785771383,0.45098039215686275,0.4791666666666667,0.46464646464646464,72,84,75,69,
2026-06-02T02:48:50,2,pauli_x,1,adam,700,300,40,20,32,17.206514999998035,0.5566666666666666,0.5568910256410257,0.11356971474273525,0.5364238410596026,0.5625,0.5491525423728814,86,70,63,81,
2026-06-02T02:49:25,2,pauli_x,2,cobyla,700,300,40,20,32,34.78104860000167,0.5266666666666666,0.5267094017094017,0.053333333333333344,0.5066666666666667,0.5277777777777778,0.5170068027210885,82,74,68,76,
2026-06-02T03:02:42,2,pauli_x,2,adam,700,300,40,20,32,796.9934970000031,0.53,0.5293803418803418,0.058744993324432615,0.5103448275862069,0.5138888888888888,0.5121107266435986,85,71,70,74,
2026-06-02T03:03:23,2,pauli_x,3,cobyla,700,300,40,20,32,40.47946229999798,0.53,0.5293803418803418,0.058744993324432615,0.5103448275862069,0.5138888888888888,0.5121107266435986,85,71,70,74,
2026-06-02T03:18:37,2,pauli_x,3,adam,700,300,40,20,32,912.4924691000051,0.49,0.4780982905982906,-0.044796503687517086,0.4262295081967213,0.18055555555555555,0.25365853658536586,121,35,118,26,
2026-06-02T03:19:06,2,pauli_y,1,cobyla,700,300,40,20,32,29.289715400002024,0.5966666666666667,0.5972222222222223,0.19397815081268321,0.5751633986928104,0.6111111111111112,0.5925925925925926,91,65,56,88,
2026-06-02T03:30:32,2,pauli_y,1,adam,700,300,40,20,32,685.6239706999986,0.5266666666666666,0.5277777777777778,0.05534858967535916,0.5063291139240507,0.5555555555555556,0.5298013245033113,78,78,64,80,
2026-06-02T03:31:08,2,pauli_y,2,cobyla,700,300,40,20,32,34.79030469999998,0.5166666666666667,0.4970619658119658,-0.006106022758812113,0.3333333333333333,0.006944444444444444,0.013605442176870748,154,2,143,1,
2026-06-02T03:44:28,2,pauli_y,2,adam,700,300,40,20,32,799.7442469000016,0.52,0.5,0.0,0.0,0.0,0.0,156,0,144,0,
2026-06-02T03:45:09,2,pauli_y,3,cobyla,700,300,40,20,32,40.33328040000197,0.5966666666666667,0.5966880341880342,0.19311816484395838,0.5771812080536913,0.5972222222222222,0.5870307167235495,93,63,58,86,
2026-06-02T04:00:21,2,pauli_y,3,adam,700,300,40,20,32,911.9994863000029,0.5533333333333333,0.5550213675213675,0.10951621477937257,0.5308641975308642,0.5972222222222222,0.5620915032679739,80,76,58,86,
2026-06-02T04:00:48,2,z_feature_map,1,cobyla,700,300,40,20,32,26.47139829999651,0.4633333333333333,0.4634081196581197,-0.07304718741668892,0.44370860927152317,0.4652777777777778,0.4542372881355932,72,84,77,67,
2026-06-02T04:11:21,2,z_feature_map,1,adam,700,300,40,20,32,632.9344756999999,0.45,0.44978632478632474,-0.10029341157642024,0.42953020134228187,0.4444444444444444,0.43686006825938567,71,85,80,64,
2026-06-02T04:11:51,2,z_feature_map,2,cobyla,700,300,40,20,32,29.437373599997954,0.5166666666666667,0.517094017094017,0.03410604849453769,0.49673202614379086,0.5277777777777778,0.5117845117845118,79,77,68,76,
2026-06-02T04:23:30,2,z_feature_map,2,adam,700,300,40,20,32,697.8049746999968,0.54,0.5395299145299146,0.07901761879337965,0.5205479452054794,0.5277777777777778,0.5241379310344828,86,70,68,76,
2026-06-02T04:24:02,2,z_feature_map,3,cobyla,700,300,40,20,32,32.36795510000229,0.5166666666666667,0.515224358974359,0.030489435677988785,0.49640287769784175,0.4791666666666667,0.4876325088339223,86,70,75,69,
2026-06-02T04:36:48,2,z_feature_map,3,adam,700,300,40,20,32,765.0509403000033,0.5466666666666666,0.530448717948718,0.0628445424476296,0.6428571428571429,0.125,0.20930232558139536,146,10,126,18,
2026-06-02T04:37:17,2,zz_feature_map_linear,1,cobyla,700,300,40,20,32,28.94071519999852,0.5133333333333333,0.5136217948717949,0.027185501066098183,0.4934210526315789,0.5208333333333334,0.5067567567567568,79,77,69,75,
2026-06-02T04:48:39,2,zz_feature_map_linear,1,adam,700,300,40,20,32,681.5985228999998,0.4766666666666667,0.4767628205128205,-0.046387629965342736,0.45695364238410596,0.4791666666666667,0.46779661016949153,74,82,75,69,
2026-06-02T04:49:14,2,zz_feature_map_linear,2,cobyla,700,300,40,20,32,33.87120909999794,0.5066666666666667,0.5074786324786325,0.014909478168264156,0.48717948717948717,0.5277777777777778,0.5066666666666667,76,80,68,76,
2026-06-02T05:02:21,2,zz_feature_map_linear,2,adam,700,300,40,20,32,786.4298931000012,0.5166666666666667,0.5162927350427351,0.03255938083800369,0.4965986394557823,0.5069444444444444,0.5017182130584192,82,74,71,73,
2026-06-02T05:03:00,2,zz_feature_map_linear,3,cobyla,700,300,40,20,32,39.075782400002936,0.5266666666666666,0.5275106837606838,0.0548455804046859,0.5064102564102564,0.5486111111111112,0.5266666666666666,79,77,65,79,
2026-06-02T05:17:54,2,zz_feature_map_linear,3,adam,700,300,40,20,32,893.1195196999979,0.47,0.4639423076923077,-0.07287449392712553,0.42857142857142855,0.3125,0.3614457831325301,96,60,99,45,
2026-06-02T05:18:23,2,zz_feature_map_full,1,cobyla,700,300,40,20,32,28.8173017000081,0.47333333333333333,0.4738247863247863,-0.05221097496004257,0.45454545454545453,0.4861111111111111,0.4697986577181208,72,84,74,70,
2026-06-02T05:29:44,2,zz_feature_map_full,1,adam,700,300,40,20,32,680.2719619999989,0.4766666666666667,0.4748931623931624,-0.05030773347605044,0.45255474452554745,0.4305555555555556,0.4412811387900356,81,75,82,62,
2026-06-02T05:30:18,2,zz_feature_map_full,2,cobyla,700,300,40,20,32,33.79526810000243,0.5166666666666667,0.5176282051282051,0.03513441575725318,0.4968152866242038,0.5416666666666666,0.5182724252491694,77,79,66,78,
2026-06-02T05:43:25,2,zz_feature_map_full,2,adam,700,300,40,20,32,786.251548900007,0.5233333333333333,0.5229700854700854,0.04590338937816918,0.5034013605442177,0.5138888888888888,0.5085910652920962,83,73,70,74,
2026-06-02T05:44:04,2,zz_feature_map_full,3,cobyla,700,300,40,20,32,38.77083660000062,0.5133333333333333,0.515224358974359,0.030286928799149848,0.49390243902439024,0.5625,0.525974025974026,73,83,63,81,
2026-06-02T05:59:04,2,zz_feature_map_full,3,adam,700,300,40,20,32,898.9294465999992,0.46,0.4519230769230769,-0.09756097560975618,0.4,0.25,0.3076923076923077,102,54,108,36,
2026-06-02T06:00:24,4,pauli_x,1,cobyla,700,300,40,20,32,73.80039279999619,0.48,0.47916666666666663,-0.04166666666666674,0.4583333333333333,0.4583333333333333,0.4583333333333333,78,78,78,66,
2026-06-02T06:02:17,4,pauli_x,1,adam,700,300,40,20,32,112.72396210000443,0.5366666666666666,0.5365918803418803,0.07308615630834892,0.5167785234899329,0.5347222222222222,0.5255972696245734,84,72,67,77,
2026-06-02T06:03:44,4,pauli_x,2,cobyla,700,300,40,20,32,85.37468629999785,0.59,0.5876068376068376,0.17582417582417587,0.5801526717557252,0.5277777777777778,0.5527272727272727,101,55,68,76,
2026-06-02T07:30:19,4,pauli_x,2,adam,700,300,40,20,32,5193.825020200005,0.5566666666666666,0.5587606837606838,0.11686586985391767,0.5333333333333333,0.6111111111111112,0.56957928802589,79,77,56,88,
2026-06-02T07:31:56,4,pauli_x,3,cobyla,700,300,40,20,32,96.4735001000081,0.5566666666666666,0.5536858974358975,0.1078615508451839,0.5433070866141733,0.4791666666666667,0.5092250922509225,98,58,75,69,
2026-06-02T09:09:38,4,pauli_x,3,adam,700,300,40,20,32,5860.540946900001,0.49666666666666665,0.5024038461538461,0.004745583970471867,0.48186528497409326,0.6458333333333334,0.5519287833827893,56,100,51,93,
2026-06-02T09:10:53,4,pauli_y,1,cobyla,700,300,40,20,32,73.83030970000254,0.58,0.5793269230769231,0.15865384615384615,0.5625,0.5625,0.5625,93,63,63,81,
2026-06-02T10:26:15,4,pauli_y,1,adam,700,300,40,20,32,4521.3753249,0.4866666666666667,0.48504273504273504,-0.029962546816479252,0.463768115942029,0.4444444444444444,0.45390070921985815,82,74,80,64,
2026-06-02T10:27:42,4,pauli_y,2,cobyla,700,300,40,20,32,85.69322880000982,0.5,0.4855769230769231,-0.029654036243822013,0.42857142857142855,0.125,0.1935483870967742,132,24,126,18,
2026-06-02T11:54:40,4,pauli_y,2,adam,700,300,40,20,32,5217.668508500006,0.52,0.5,0.0,0.0,0.0,0.0,156,0,144,0,
2026-06-02T11:56:19,4,pauli_y,3,cobyla,700,300,40,20,32,97.32723360000819,0.5333333333333333,0.5325854700854701,0.06517094017094016,0.5138888888888888,0.5138888888888888,0.5138888888888888,86,70,70,74,
2026-06-02T13:34:06,4,pauli_y,3,adam,700,300,40,20,32,5866.469636599999,0.51,0.5112179487179487,0.022346368715083886,0.49056603773584906,0.5416666666666666,0.5148514851485149,75,81,66,78,
2026-06-02T13:35:16,4,z_feature_map,1,cobyla,700,300,40,20,32,68.77611069999693,0.5166666666666667,0.516025641025641,0.03204272363150873,0.496551724137931,0.5,0.4982698961937716,83,73,72,72,
2026-06-02T14:45:25,4,z_feature_map,1,adam,700,300,40,20,32,4208.031645200012,0.56,0.5579594017094016,0.11622924477771834,0.5447761194029851,0.5069444444444444,0.5251798561151079,95,61,71,73,
2026-06-02T14:46:40,4,z_feature_map,2,cobyla,700,300,40,20,32,74.26115160000336,0.54,0.5368589743589743,0.07407407407407407,0.5238095238095238,0.4583333333333333,0.4888888888888889,96,60,78,66,
2026-06-02T16:02:58,4,z_feature_map,2,adam,700,300,40,20,32,4576.868342300004,0.5566666666666666,0.5539529914529915,0.10834003754357735,0.5426356589147286,0.4861111111111111,0.5128205128205128,97,59,74,70,
